,spp.num,alpha.code,name,spp,order
944,6331,PRVI,Puerto Rican Vireo,Vireo latimeri,690
945,6334,LBVI,Least Bell's Vireo,Vireo bellii pusillus,692
946,6340,GRVI,Gray Vireo,Vireo vicinior,694
947,6350,BANA,Bananaquit,Coereba flaveola,963
948,6360,BAWW,Black-and-white Warbler,Mniotilta varia,901
949,6366,HYWA,Hybrid Warbler,hybrid,962
950,6370,PROW,Prothonotary Warbler,Protonotaria citrea,902
951,6380,SWWA,Swainson's Warbler,Limnothlypis swainsonii,903
952,6390,WEWA,Worm-eating Warbler,Helmitheros vermivorum,893
953,6410,BWWA,Blue-winged Warbler,Vermivora cyanoptera,897
954,6412,BRWA,Brewster's Warbler,hybrid,898
955,6413,LAWA,Lawrence's Warbler,hybrid,899
956,6416,GBWH,Golden-winged x Blue-winged Warbler Hybrid,hybrid,900
957,6420,GWWA,Golden-winged Warbler,Vermivora chrysoptera,896
960,6430,LUWA,Lucy's Warbler,Oreothlypis luciae,907
961,6440,VIWA,Virginia's Warbler,Oreothlypis virginiae,909
962,6450,NAWA,Nashville Warbler,Oreothlypis ruficapilla,908
963,6460,OCWA,Orange-crowned Warbler,Oreothlypis celata,905
964,6470,TEWA,Tennessee Warbler,Oreothlypis peregrina,904
965,6471,COLW,Colima Warbler,Oreothlypis crissalis,906
966,6480,NOPA,Northern Parula,Setophaga americana,924
967,6490,TRPA,Tropical Parula,Setophaga pitiayumi,925
968,6500,CMWA,Cape May Warbler,Setophaga tigrina,922
969,6510,OLWA,Olive Warbler,Peucedramus taeniatus,885
970,6520,YEWA,Yellow Warbler,Setophaga petechia,929
971,6540,BTBW,Black-throated Blue Warbler,Setophaga caerulescens,932
972,6550,MYWA,Myrtle Warbler,Setophaga coronata coronata,937
973,6556,YRWA,Yellow-rumped Warbler,Setophaga coronata,938
974,6560,AUWA,Audubon's Warbler,Setophaga coronata auduboni,939
975,6570,MAWA,Magnolia Warbler,Setophaga magnolia,926
976,6580,CERW,Cerulean Warbler,Setophaga cerulea,923
977,6581,EWWA,Elfin-woods Warbler,Setophaga angelae,917
978,6590,CSWA,Chestnut-sided Warbler,Setophaga pensylvanica,930
979,6600,BBWA,Bay-breasted Warbler,Setophaga castanea,927
980,6610,BLPW,Blackpoll Warbler,Setophaga striata,931
981,6620,BLBW,Blackburnian Warbler,Setophaga fusca,928
982,6630,YTWA,Yellow-throated Warbler,Setophaga dominica,940
983,6634,SUWA,Sutton's Warbler,hybrid,941
984,6640,GRWA,Grace's Warbler,Setophaga graciae,946
985,6641,ADWA,Adelaide's Warbler,Setophaga adelaidae,943
986,6642,BARW,Barbuda Warbler,Setophaga subita,944
987,6643,SLWA,St. Lucia Warbler,Setophaga delicata,945
988,6650,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,947
989,6660,GCWA,Golden-cheeked Warbler,Setophaga chrysoparia,951
990,6670,BTNW,Black-throated Green Warbler,Setophaga virens,952
991,6680,TOWA,Townsend's Warbler,Setophaga townsendi,948
992,6686,THWH,Townsend's X Hermit Warbler Hybrid,hybrid,949
993,6690,HEWA,Hermit Warbler,Setophaga occidentalis,950
994,6700,KIWA,Kirtland's Warbler,Setophaga kirtlandii,921
995,6710,PIWA,Pine Warbler,Setophaga pinus,936
996,6720,WPWA,Western Palm Warbler,Setophaga palmarum palmarum,933
997,6729,YPWA,Yellow Palm Warbler,Setophaga palmarum hypochrysea,934
998,6730,PRAW,Prairie Warbler,Setophaga discolor,942
999,6740,OVEN,Ovenbird,Seiurus aurocapilla,892
1000,6750,NOWA,Northern Waterthrush,Parkesia noveboracensis,895
1001,6760,LOWA,Louisiana Waterthrush,Parkesia motacilla,894
1002,6770,KEWA,Kentucky Warbler,Geothlypis formosa,914
1003,6780,CONW,Connecticut Warbler,Oporornis agilis,910
1004,6790,MOWA,Mourning Warbler,Geothlypis philadelphia,913
1005,6800,MGWA,MacGillivray's Warbler,Geothlypis tolmiei,912
1006,6810,COYE,Common Yellowthroat,Geothlypis trichas,916
1007,6821,GCYE,Gray-crowned Yellowthroat,Geothlypis poliocephala,911
1008,6830,YBCH,Yellow-breasted Chat,Icteria virens,961
1009,6840,HOWA,Hooded Warbler,Setophaga citrina,919
1010,6850,WIWA,Wilson's Warbler,Cardellina pusilla,957
1011,6860,CAWA,Canada Warbler,Cardellina canadensis,956
1022,6870,AMRE,American Redstart,Setophaga ruticilla,920
1023,6880,PARE,Painted Redstart,Myioborus pictus,959
1024,6881,FTWA,Fan-tailed Warbler,Basileuterus lachrymosus,953
1025,6882,HOSP,House Sparrow,Passer domesticus,1160
1026,6883,ETSP,Eurasian Tree Sparrow,Passer montanus,1161
1027,6890,SLAR,Slate-throated Redstart,Myioborus miniatus,960
1028,6900,RFWA,Red-faced Warbler,Cardellina rubrifrons,958
1029,6920,GOLW,Golden-crowned Warbler,Basileuterus culicivorus,955
1030,6921,RCWA,Rufous-capped Warbler,Basileuterus rufifrons,954
1031,6940,WHWA,White Wagtail,Motacilla alba,873
1032,6951,BWAG,Black-backed Wagtail,Motacilla alba lugens,874
1033,6960,EYWA,Eastern Yellow Wagtail,Motacilla tschutschensis,871
1034,6961,GRAW,Gray Wagtail,Motacilla cinerea,872
1035,6970,AMPI,American Pipit,Anthus rubescens,878
1036,6981,PEPI,Pechora Pipit,Anthus gustavi,876
1037,6983,OBPI,Olive-backed Pipit,Anthus hodgsoni,875
1038,6990,RTPI,Red-throated Pipit,Anthus cervinus,877
1039,7000,SPPI,Sprague's Pipit,Anthus spragueii,879
1042,7010,AMDI,American Dipper,Cinclus mexicanus,788
1043,7020,SATH,Sage Thrasher,Oreoscoptes montanus,857
1046,7030,NOMO,Northern Mockingbird,Mimus polyglottos,860
1047,7031,BAMO,Bahama Mockingbird,Mimus gundlachii,858
1048,7032,TRMO,Tropical Mockingbird,Mimus gilvus,859
1049,7040,GRCA,Gray Catbird,Dumetella carolinensis,847
1050,7050,BRTH,Brown Thrasher,Toxostoma rufum,851
1051,7060,LBTH,Long-billed Thrasher,Toxostoma longirostre,852
1052,7070,CBTH,Curve-billed Thrasher,Toxostoma curvirostre,850
1053,7080,BETH,Bendire's Thrasher,Toxostoma bendirei,853
1054,7100,CATH,California Thrasher,Toxostoma redivivum,854
1055,7110,LCTH,Le Conte's Thrasher,Toxostoma lecontei,855
1056,7111,PETH,Pearly-eyed Thrasher,Margarops fuscatus,848
1057,7120,CRTH,Crissal Thrasher,Toxostoma crissale,856
1058,7130,CACW,Cactus Wren,Campylorhynchus brunneicapillus,782
1059,7150,ROWR,Rock Wren,Salpinctes obsoletus,772
1060,7170,CANW,Canyon Wren,Catherpes mexicanus,773
1061,7180,CARW,Carolina Wren,Thryothorus ludovicianus,780
1062,7190,BEWR,Bewick's Wren,Thryomanes bewickii,781
1063,7210,HOWR,House Wren,Troglodytes aedon,774
1064,7220,WIWR,Winter Wren,Troglodytes hiemalis,777
1065,7221,PAWR,Pacific Wren,Troglodytes pacificus,776
1066,7240,SEWR,Sedge Wren,Cistothorus platensis,778
1067,7250,MAWR,Marsh Wren,Cistothorus palustris,779
1068,7260,BRCR,Brown Creeper,Certhia americana,771
1069,7261,RWBU,Red-whiskered Bulbul,Pycnonotus jocosus,790
1070,7262,RVBU,Red-vented Bulbul,Pycnonotus cafer,789
1071,7270,WBNU,White-breasted Nuthatch,Sitta carolinensis,768
1072,7280,RBNU,Red-breasted Nuthatch,Sitta canadensis,767
1073,7290,BHNU,Brown-headed Nuthatch,Sitta pusilla,770
1074,7300,PYNU,Pygmy Nuthatch,Sitta pygmaea,769
1075,7310,TUTI,Tufted Titmouse,Baeolophus bicolor,762
1076,7320,BCTI,Black-crested Titmouse,Baeolophus atricristatus,764
1077,7330,OATI,Oak Titmouse,Baeolophus inornatus,760
1078,7331,NA,Juniper Titmouse,Baeolophus ridgwayi,761
1079,7339,PLTI,Plain Titmouse,hybrid,763
1080,7340,BRTI,Bridled Titmouse,Baeolophus wollweberi,759
1081,7341,VATI,Varied Tit,Cyanistes varius,758
1082,7350,BCCH,Black-capped Chickadee,Poecile atricapillus,751
1083,7356,HYCH,Hybrid Chickadee,hybrid,757
1084,7360,CACH,Carolina Chickadee,Poecile carolinensis,750
1085,7370,MECH,Mexican Chickadee,Poecile sclateri,753
1086,7380,MOCH,Mountain Chickadee,Poecile gambeli,752
1087,7390,GHCH,Gray-headed Chickadee,Poecile cinctus,756
1088,7400,BOCH,Boreal Chickadee,Poecile hudsonicus,755
1089,7410,CBCH,Chestnut-backed Chickadee,Poecile rufescens,754
1090,7420,WREN,Wrentit,Chamaea fasciata,797
1091,7421,RBLE,Red-billed Leiothrix,Leiothrix lutea,801
1092,7422,HWAM,Hwamei,Garrulax canorus,800
1093,7423,GNLA,Greater Necklaced Laughingthrush,Garrulax pectoralis,799
1094,7424,OBNT,Orange-billed Nightingale-Thrush,Catharus aurantiirostris,827
1095,7430,BUSH,Bushtit,Psaltriparus minimus,766
1096,7460,VERD,Verdin,Auriparus flaviceps,765
1097,7461,JABW,Japanese Bush-Warbler,Cettia diphone,793
1099,7462,MILL,Millerbird,Acrocephalus familiaris,802
1100,7470,ARWA,Arctic Warbler,Phylloscopus borealis,796
1101,7471,MIGW,Middendorff's Grasshopper-Warbler,Locustella ochotensis,804
1102,7473,WOWA,Wood Warbler,Phylloscopus sibilatrix,794
1103,7474,DUWA,Dusky Warbler,Phylloscopus fuscatus,795
1104,7475,LANW,Lanceolated Warbler,Locustella lanceolata,808
1105,7480,GCKI,Golden-crowned Kinglet,Regulus satrapa,791
1106,7490,RCKI,Ruby-crowned Kinglet,Regulus calendula,792
